,count,mean,std,min,25%,50%,75%,max
pos_noun_pct,3.0,0.1512313258636788,0.0982746652738411,0.09375,0.09449404761904762,0.09523809523809523,0.1799719887955182,0.2647058823529412
pos_verb_pct,3.0,0.1762371615312792,0.08181697547741272,0.08823529411764705,0.13935574229691877,0.19047619047619047,0.22023809523809523,0.25
pos_adj_pct,3.0,0.06611811391223156,0.020548428920970106,0.047619047619047616,0.05505952380952381,0.0625,0.07536764705882354,0.08823529411764706
pos_adv_pct,3.0,0.0782563025210084,0.058340888387311815,0.029411764705882353,0.04595588235294118,0.0625,0.10267857142857142,0.14285714285714285
pos_pron_pct,3.0,0.09847689075630252,0.04221575143638122,0.058823529411764705,0.07628676470588236,0.09375,0.11830357142857142,0.14285714285714285
negation_count,3.0,1.0,1.7320508075688772,0.0,0.0,0.0,1.5,3.0
neg_adj_window,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
lex_score_sum,3.0,1.3333333333333333,1.5275252316519468,0.0,0.5,1.0,2.0,3.0
lex_score_mean,3.0,0.6666666666666666,0.5773502691896258,0.0,0.5,1.0,1.0,1.0
lex_score_max,3.0,0.6666666666666666,0.5773502691896258,0.0,0.5,1.0,1.0,1.0
lex_score_min,3.0,0.6666666666666666,0.5773502691896258,0.0,0.5,1.0,1.0,1.0
avg_word_len,3.0,3.9045868346666666,0.14034055049443303,3.794117647,3.825630252,3.857142857,3.9598214284999997,4.0625
avg_sent_len,3.0,20.166666666666668,12.291596044994863,10.5,13.25,16.0,25.0,34.0
punct_intensity,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttr,3.0,0.8917191876666667,0.030070666393424237,0.857142857,0.8816964285,0.90625,0.909007353,0.911764706
first_sent_sentiment,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.5,1.0
discourse_markers,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
